               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.050645,            0.052005,           0.0076515,             0.64862,              0.8517,             0.89068,             0.50687,            0.040056,            0.032226,           0.0058707,            0.005744,            0.005744,            0.046644
                  37,            0.048078,            0.051825,           0.0073439,             0.50644,             0.91345,             0.79796,             0.41018,            0.047654,            0.033931,           0.0053898,             0.00589,             0.00589,             0.04519
                  38,            0.049177,            0.053361,           0.0074867,             0.95633,               0.825,             0.94602,             0.51704,            0.037199,            0.031801,           0.0055179,           0.0060353,           0.0060353,            0.043735
                  39,            0.048129,             0.04785,           0.0069735,             0.91782,             0.94362,             0.98021,              0.5339,            0.033686,            0.031995,           0.0053305,           0.0061798,           0.0061798,             0.04228
                  40,            0.043941,            0.047548,            0.006535,             0.68109,             0.93425,             0.92612,             0.47583,            0.036561,            0.030687,           0.0052225,           0.0063235,           0.0063235,            0.040823
                  41,            0.045397,            0.047829,           0.0067113,             0.81794,             0.94932,             0.92001,             0.55454,            0.029887,            0.030283,           0.0051753,           0.0064664,           0.0064664,            0.039366
                  42,            0.042281,            0.045685,           0.0065925,             0.76747,             0.86263,             0.87449,             0.49059,            0.035485,            0.030174,           0.0052826,           0.0066085,           0.0066085,            0.037908
                  43,            0.045666,            0.050294,           0.0065288,             0.80952,             0.96994,             0.94109,             0.58901,            0.035567,            0.031202,           0.0049035,           0.0067497,           0.0067497,             0.03645
                  44,            0.041498,            0.050097,           0.0067459,             0.97353,             0.97889,              0.9896,             0.64244,            0.026358,            0.029591,           0.0049816,           0.0068901,           0.0068901,             0.03499
                  45,            0.042935,            0.049301,           0.0065522,             0.86568,             0.88799,             0.92813,             0.50656,            0.033279,            0.030614,           0.0044094,           0.0070296,           0.0070296,             0.03353
                  46,            0.041919,            0.048873,           0.0061484,             0.89113,             0.93692,              0.9424,             0.54812,            0.032678,            0.030141,           0.0043661,           0.0071682,           0.0071682,            0.032068
                  47,            0.043555,            0.048552,           0.0062375,             0.93173,             0.91883,             0.97139,              0.5386,            0.030844,            0.030385,           0.0063717,           0.0073058,           0.0073058,            0.030606
                  48,            0.040916,            0.045547,           0.0057455,             0.95056,             0.93085,             0.97304,             0.47463,            0.037747,            0.029623,            0.004128,           0.0074426,           0.0074426,            0.029143
                  49,            0.040848,            0.049422,           0.0055548,             0.92789,              0.9568,             0.98032,             0.61504,             0.03099,            0.030513,            0.004397,           0.0075784,           0.0075784,            0.027678
                  50,            0.036815,            0.044647,            0.005712,             0.95975,             0.95538,             0.98538,             0.61642,            0.027602,            0.028852,           0.0041465,           0.0077132,           0.0077132,            0.026213
                  51,            0.039333,            0.046947,           0.0056695,             0.92559,             0.94577,             0.95797,             0.52864,            0.035761,            0.029794,           0.0038782,           0.0078471,           0.0078471,            0.024747
                  52,            0.047159,             0.05135,           0.0056678,             0.76989,             0.92965,              0.9024,             0.50262,            0.033605,            0.033163,           0.0057845,             0.00798,             0.00798,             0.02328
                  53,            0.043262,            0.050465,           0.0060368,             0.77079,             0.90251,             0.88423,             0.43271,             0.03804,            0.034505,           0.0046142,           0.0081118,           0.0081118,            0.021812
                  54,            0.044104,            0.051501,           0.0053557,             0.93627,             0.94916,             0.98177,             0.53031,            0.037035,            0.031726,           0.0036075,           0.0082427,           0.0082427,            0.020343
                  55,            0.047175,            0.050186,           0.0052151,             0.87257,             0.95898,             0.98109,             0.56922,            0.033674,             0.03101,           0.0038769,           0.0083724,           0.0083724,            0.018872
                  56,            0.039063,             0.04628,           0.0055318,             0.93569,             0.98875,             0.98817,             0.61954,            0.032288,            0.028751,           0.0038377,           0.0085012,           0.0085012,            0.017401
                  57,            0.037969,            0.045383,           0.0061185,             0.63883,             0.90697,             0.86354,             0.50822,            0.035128,            0.029573,           0.0039024,           0.0086288,           0.0086288,            0.015929
                  58,            0.037154,            0.044753,           0.0051106,             0.86431,             0.97392,             0.93442,             0.59118,            0.027872,            0.028025,           0.0032678,           0.0087554,           0.0087554,            0.014455
                  59,            0.040569,            0.045339,            0.005491,             0.79613,             0.98465,             0.92009,             0.56178,            0.030924,            0.029035,           0.0035297,           0.0088808,           0.0088808,            0.012981
                  60,            0.040099,            0.046679,            0.005956,             0.82862,             0.78851,             0.85875,             0.42917,            0.036129,            0.032262,           0.0046124,           0.0090052,           0.0090052,            0.011505
                  61,            0.040221,            0.044673,            0.005117,             0.92658,             0.93933,              0.9697,             0.61526,            0.029097,            0.029335,           0.0033629,           0.0091284,           0.0091284,            0.010028
                  62,            0.039278,            0.048436,           0.0050894,             0.89659,             0.92044,             0.96841,             0.48601,            0.036313,             0.03249,           0.0035258,           0.0091861,           0.0091861,           0.0091861
                  63,            0.037704,            0.049867,           0.0048826,             0.92264,             0.95906,             0.97556,             0.55658,            0.032394,            0.030184,           0.0038323,           0.0091861,           0.0091861,           0.0091861
                  64,            0.038005,            0.048285,           0.0049211,             0.85783,             0.93043,             0.90968,             0.54124,            0.031245,            0.029028,           0.0042802,           0.0091606,           0.0091606,           0.0091606
                  65,            0.037134,            0.047617,           0.0046739,             0.98122,             0.98722,             0.99397,             0.69054,            0.024365,            0.028007,           0.0032968,           0.0091348,           0.0091348,           0.0091348
                  66,            0.034376,            0.044169,           0.0044371,             0.97175,             0.99149,             0.99278,             0.62451,            0.026787,            0.027426,           0.0029246,           0.0091086,           0.0091086,           0.0091086
                  67,            0.034918,            0.047125,           0.0046971,              0.9476,             0.94219,             0.95354,             0.62713,            0.029677,            0.031503,           0.0031049,           0.0090821,           0.0090821,           0.0090821
                  68,            0.034547,            0.046408,           0.0052156,             0.94125,             0.96502,             0.98963,             0.63612,            0.029006,            0.028446,           0.0029098,           0.0090552,           0.0090552,           0.0090552
                  69,            0.033969,            0.042536,           0.0044801,             0.94706,             0.97159,             0.97243,              0.6698,            0.024111,            0.026585,           0.0029392,            0.009028,            0.009028,            0.009028
                  70,            0.032882,            0.045827,           0.0045298,             0.97871,             0.95762,             0.99122,             0.65359,            0.024869,            0.027161,            0.002887,           0.0090004,           0.0090004,           0.0090004
                  71,             0.03339,            0.044374,           0.0042012,             0.96161,             0.92411,             0.97571,             0.58915,            0.029226,            0.028838,           0.0027649,           0.0089726,           0.0089726,           0.0089726
                  72,            0.033349,            0.043051,           0.0041991,              0.9343,             0.96823,             0.97741,             0.64944,            0.026603,            0.027284,           0.0027287,           0.0089444,           0.0089444,           0.0089444
                  73,            0.034784,            0.044062,           0.0040875,             0.95821,             0.97891,             0.99258,             0.59338,             0.03101,            0.028545,           0.0027418,           0.0089159,           0.0089159,           0.0089159
                  74,            0.036009,            0.045143,            0.004574,             0.93174,             0.96001,             0.98647,             0.63686,            0.027409,             0.02819,           0.0027108,            0.008887,            0.008887,            0.008887
                  75,            0.034681,            0.043128,           0.0040422,             0.99596,             0.98669,             0.99515,             0.62921,            0.029897,            0.028276,           0.0024158,           0.0088579,           0.0088579,           0.0088579
                  76,            0.031418,            0.044124,           0.0037058,             0.95542,             0.98525,             0.98177,             0.65323,            0.023369,            0.027008,           0.0022922,           0.0088284,           0.0088284,           0.0088284
                  77,            0.032506,            0.046583,           0.0038122,             0.98861,              0.9941,             0.99509,             0.60983,            0.026345,            0.028339,            0.002475,           0.0087987,           0.0087987,           0.0087987
